,Neighborhood,Price
0,"D Street - West Broadway, South Boston, Boston","$3,744"
1,"Seaport District, D Street - West Broadway, South Boston, Boston","$4,113"
2,"Chinatown - Leather District, Boston","$5,225"
3,"West End, Boston","$2,875"
4,"Chinatown - Leather District, Boston","$3,951"
5,"North End, Boston","$3,800"
6,"Seaport District, D Street - West Broadway, South Boston, Boston","$3,838"
7,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$7,925"
8,"Downtown Boston, Boston","$3,985"
9,"Downtown Boston, Boston","$3,030"
10,"D Street - West Broadway, South Boston, Boston","$3,699"
11,"Bay Village, Boston","$3,575"
12,"Bay Village, Boston","$6,905"
13,"Downtown Boston, Boston","$2,985"
14,"Chinatown - Leather District, Boston","$3,630"
15,"Waterfront, North End, Boston","$2,550"
16,"North End, Boston","$3,795"
17,"Chinatown - Leather District, Boston","$3,561"
18,"Chinatown - Leather District, Boston","$3,561"
19,"Prudential - St. Botolph, Back Bay, Boston","$3,510"
20,"Prudential - St. Botolph, Back Bay, Boston","$3,175"
21,"Bay Village, Boston","$5,460"
22,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$7,925"
23,"North End, Boston","$3,800"
24,"Shawmut, South End, Boston","$3,418"
25,"Seaport District, D Street - West Broadway, South Boston, Boston","$3,892"
26,"Downtown Boston, Boston","$4,199"
27,"Central Maverick Square - Paris Street, East Boston, Boston","$2,575"
28,"Seaport District, D Street - West Broadway, South Boston, Boston","$3,949"
29,"West End, Boston","$4,420"
30,"Seaport District, D Street - West Broadway, South Boston, Boston","$8,881"
31,"Downtown Boston, Boston","$3,653"
32,"Downtown Boston, Boston","$2,930"
33,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$3,900"
34,"Downtown Boston, Boston","$4,535"
35,"Seaport District, D Street - West Broadway, South Boston, Boston","$3,135"
36,"West End, Boston","$3,685"
37,"Seaport District, D Street - West Broadway, South Boston, Boston","$4,991"
38,"Prudential - St. Botolph, Back Bay, Boston","$5,374"
39,"Fenway, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$4,075"
40,"Downtown Boston, Boston","$4,065"
41,"Downtown Boston, Boston","$6,400"
42,"Seaport District, D Street - West Broadway, South Boston, Boston","$3,179"
43,"D Street - West Broadway, South Boston, Boston","$2,896"
44,"Seaport District, D Street - West Broadway, South Boston, Boston","$2,967"
45,"Downtown Boston, Boston","$3,275"
46,"Downtown Boston, Boston","$3,600"
47,"Seaport District, D Street - West Broadway, South Boston, Boston","$3,480"
48,"Downtown Boston, Boston","$3,941"
49,"Chinatown - Leather District, Boston","$3,946"
50,"Chinatown - Leather District, Boston","$5,413"
51,"Seaport District, D Street - West Broadway, South Boston, Boston","$4,113"
52,"Prudential - St. Botolph, Back Bay, Boston","$4,275"
53,"D Street - West Broadway, South Boston, Boston","$2,382"
54,"Downtown Boston, Boston","$3,209"
55,"Bay Village, Boston","$4,060"
56,"Central Maverick Square - Paris Street, East Boston, Boston","$2,435"
57,"Bay Village, Boston","$5,460"
58,"North End, Boston","$2,875"
59,"Seaport District, D Street - West Broadway, South Boston, Boston","$3,473"
